time, Quad.IMU.AX
1.815029,0.347642
1.820029,0.548389
1.825029,-0.369437
1.830029,0.106885
1.835030,-0.366149
1.840030,-0.544920
1.845030,0.502799
1.850030,0.310512
1.855031,-0.182936
1.860031,-0.765851
1.865031,-0.265031
1.870031,0.549281
1.875032,0.375617
1.880032,0.091198
1.885032,-0.207402
1.890032,-0.818396
1.895033,0.095648
1.900033,-0.150800
1.905033,-1.180318
1.910033,0.410752
1.915033,0.095623
1.920034,-0.594234
1.925034,0.107133
1.930034,0.629173
1.935034,-0.056562
1.940035,0.218529
1.945035,-0.033761
1.950035,0.437958
1.955035,-0.069195
1.960036,-0.388713
1.965036,-0.566718
1.970036,0.563306
1.975036,-0.369389
1.980036,-0.183753
1.985037,0.437855
1.990037,-0.272447
1.995037,0.459316
2.000037,0.247471
2.005037,-0.353043
2.010037,0.417530
2.015036,0.269061
2.020036,0.281084
2.025036,0.278796
2.030035,-0.307962
2.035035,0.663744
2.040035,0.429672
2.045034,-0.425504
2.050034,0.119113
2.055033,0.877806
2.060033,-0.166061
2.065033,-0.292954
2.070032,0.025707
2.075032,-0.234655
2.080032,-0.368339
2.085031,0.614024
2.090031,0.115837
2.095031,-0.537680
2.100030,0.326607
2.105030,-0.141273
2.110029,0.911307
2.115029,-0.700246
2.120029,-0.292320
2.125028,-0.012268
2.130028,0.730041
2.135028,-0.357700
2.140027,-1.914141
2.145027,0.276469
2.150027,-0.280775
2.155026,0.099468
2.160026,0.439311
2.165025,-0.373131
2.170025,-0.772916
2.175025,-0.520212
2.180024,0.086839
2.185024,0.358751
2.190024,-0.178212
2.195023,0.182635
2.200023,-0.667030
2.205023,-0.059629
2.210022,0.576522
2.215022,1.113778
2.220021,-0.422075
2.225021,-0.736174
2.230021,0.240256
2.235020,-0.146657
2.240020,-0.146676
2.245020,-0.678297
2.250019,-0.815510
2.255019,-1.056941
2.260019,-1.452798
2.265018,-0.284960
2.270018,0.097908
2.275017,0.233636
2.280017,0.675998
2.285017,-0.302968
2.290016,-0.006294
2.295016,-0.771213
2.300016,0.862319
2.305015,0.020709
2.310015,0.753348
2.315015,0.335921
2.320014,0.974293
2.325014,0.164992
2.330014,-0.088021
2.335013,-0.160259
2.340013,-0.499570
2.345012,0.128620
2.350012,0.710934
2.355012,-0.404324
2.360011,0.281431
2.365011,-0.771528
2.370011,0.690686
2.375010,0.188238
2.380010,-0.086893
2.385010,-1.250311
2.390009,-0.380103
2.395009,0.021107
2.400008,0.112543
2.405008,-0.034031
2.410008,-0.260414
2.415007,-0.086628
2.420007,0.577153
2.425007,0.364545
2.430006,0.635254
2.435006,-0.333285
2.440006,-0.122839
2.445005,0.260895
2.450005,-0.026348
2.455004,0.729831
2.460004,0.488134
2.465004,-0.849448
2.470003,-0.575976
2.475003,-0.344248
2.480003,0.275584
2.485002,0.158178
2.490002,-0.861705
2.495002,-0.167355
2.500001,0.084049
2.505001,0.300378
2.510000,0.006566
2.515000,-0.389970
2.520000,-0.011188
2.524999,-0.476341
2.529999,0.228040
2.534999,-0.633275
2.539998,0.093217
2.544998,0.080851
2.549998,-0.280694
2.554997,-0.312174
2.559997,-0.144235
2.564996,-0.126585
2.569996,-0.956350
2.574996,0.141397
2.579995,-0.280126
2.584995,0.317706
2.589995,0.467530
2.594994,-0.797406
2.599994,0.542318
2.604994,0.792656
2.609993,0.554285
2.614993,1.305730
2.619992,-0.106128
2.624992,0.873948
2.629992,-0.313703
2.634991,-0.518964
2.639991,0.916509
2.644991,0.679882
2.649990,0.055335
2.654990,-0.146535
2.659990,0.422412
2.664989,0.339762
2.669989,-0.070604
2.674989,0.772187
2.679988,-0.678526
2.684988,-0.619537
2.689987,0.336002
2.694987,-0.541468
2.699987,0.008051
2.704986,-0.547237
2.709986,0.300816
2.714986,-0.739440
2.719985,0.443641
2.724985,-0.333878
2.729985,0.609238
2.734984,0.421994
2.739984,-0.085198
2.744983,-0.574481
2.749983,-0.079300
2.754983,0.396260
2.759982,-0.603581
2.764982,0.006490
2.769982,0.178646
2.774981,0.228286
2.779981,0.587816
2.784981,0.447762
2.789980,-0.253515
2.794980,-0.163713
2.799979,-0.022298
2.804979,-0.236576
2.809979,-0.429819
2.814978,0.005025
2.819978,0.100847
2.824978,-0.549776
2.829977,0.705342
2.834977,0.205656
2.839977,0.518377
2.844976,0.773851
2.849976,-0.477788
2.854975,-0.169243
2.859975,-0.073618
2.864975,-0.946343
2.869974,0.695088
2.874974,-0.498844
2.879974,0.151513
2.884973,0.324146
2.889973,-0.288217
2.894973,-0.191114
2.899972,0.552822
2.904972,-0.048838
2.909971,0.758819
2.914971,0.247025
2.919971,0.265749
2.924970,0.179642
2.929970,-0.608023
2.934970,-0.203032
2.939969,-0.053490
2.944969,-0.279295
2.949969,0.208255
2.954968,0.216463
2.959968,-0.834585
2.964967,0.188971
2.969967,0.033816
2.974967,0.488756
2.979966,-0.241677
2.984966,-0.430171
2.989966,-0.136061
2.994965,0.995553
2.999965,-1.199180
3.004965,0.352026
3.009964,0.839408
3.014964,-0.283508
3.019964,-0.349553
3.024963,0.247306
3.029963,-0.240468
3.034962,-0.443216
3.039962,0.092446
3.044962,0.038581
3.049961,0.581569
3.054961,-0.288726
3.059961,-0.457815
3.064960,-0.067996
3.069960,0.284696
3.074960,0.140028
3.079959,-0.564162
3.084959,0.417470
3.089958,-0.022093
3.094958,-1.005964
3.099958,-0.467998
3.104957,-0.337770
3.109957,0.052888
3.114957,0.078912
3.119956,-0.799009
3.124956,0.091463
3.129956,0.926352
3.134955,1.007174
3.139955,-0.027588
3.144954,-0.696535
3.149954,-1.028982
3.154954,0.501611
3.159953,0.020871
3.164953,-0.201671
3.169953,-0.473828
3.174952,0.083084
3.179952,0.239419
3.184952,-0.630807
3.189951,-0.262885
3.194951,0.874491
3.199950,-0.229164
3.204950,-0.379269
3.209950,0.728406
3.214949,0.369959
3.219949,-0.544186
3.224949,0.272389
3.229948,0.221992
3.234948,0.498703
3.239948,-0.442121
3.244947,0.011789
3.249947,0.238536
3.254946,-0.139744
3.259946,0.025513
3.264946,-0.659478
3.269945,-0.522805
3.274945,0.633386
3.279945,-0.888470
3.284944,-0.251991
3.289944,-0.147649
3.294944,-0.264169
3.299943,-0.307804
3.304943,-0.258020
3.309942,0.024772
3.314942,0.691996
3.319942,-1.040932
3.324941,-0.027852
3.329941,0.755117
3.334941,-0.246986
3.339940,-0.636397
3.344940,-0.010832
3.349940,-0.253936
3.354939,-0.502298
3.359939,-0.815924
3.364938,-0.145456
3.369938,-0.604903
3.374938,0.227828
3.379937,-0.076701
3.384937,-0.444666
3.389937,-1.060074
3.394936,-0.475964
3.399936,-0.767679
3.404936,0.658746
3.409935,0.005547
3.414935,-0.020637
3.419935,0.297665
3.424934,0.659047
3.429934,-0.050288
3.434933,0.112540
3.439933,1.351548
3.444933,-0.187884
3.449932,-0.080620
3.454932,-0.197879
3.459932,0.456262
3.464931,-0.557010
3.469931,-0.373399
3.474931,0.926441
3.479930,-0.552165
3.484930,0.043941
3.489929,-0.317462
3.494929,0.093641
3.499929,0.210443
3.504928,-0.615073
3.509928,-0.600222
3.514928,-0.899822
3.519927,-0.694881
3.524927,0.564524
3.529927,-0.597015
3.534926,-0.317680
3.539926,-0.882011
3.544925,-0.368523
3.549925,-0.140524
3.554925,0.224005
3.559924,0.221225
3.564924,0.082417
3.569924,-0.251897
3.574923,-0.027597
3.579923,-0.618092
3.584923,0.635871
3.589922,-0.757417
